epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,epoch_time_seconds
1,0.758105202567875,82.53725884611868,0.13158695117176117,96.93693693693693,0.001,305.6139352321625
2,0.4750208719716033,90.40413276035476,0.11233798393660838,97.11711711711712,0.001,307.999009847641
3,0.4727688261983468,92.2858187802871,0.11364433636536388,97.83783783783784,0.001,307.14558959007263
4,0.45763127719166835,93.50187437139984,0.06766736496676196,98.55855855855856,0.001,307.24861764907837
5,0.43531919264254954,94.41437322849045,0.14762154420216878,98.01801801801801,0.001,307.262127161026
6,0.4308244748790894,95.04343055682546,0.05695446278597858,99.1891891891892,0.001,306.3203203678131
7,0.46257434241501605,95.41464752674408,0.05731423416653195,99.1891891891892,0.001,307.155650138855
8,0.45185115657276065,95.87363993782573,0.06964975638432545,99.009009009009,0.001,307.24919509887695
9,0.4640921934819193,96.20096918716284,0.08301321955414506,98.64864864864865,0.001,306.8965666294098
10,0.4546777999737891,96.46063820060346,0.06093069755279266,99.1891891891892,0.001,307.66447353363037
11,0.22379367081479942,97.78732742068209,0.04242273708721539,99.45945945945945,0.0005,306.7813572883606
12,0.16336694710856547,98.25729176190912,0.04783775892343607,99.27927927927928,0.0005,306.8046371936798
13,0.16411107751191115,98.32860930785408,0.027149124725444895,99.45945945945945,0.0005,306.777606010437
14,0.16124022564259527,98.40175550882326,0.02415581329448803,99.63963963963964,0.0005,307.209397315979
15,0.16518847760791652,98.43467129925939,0.020227217029880833,99.81981981981981,0.0005,307.07001781463623
16,0.14556049995299417,98.5837066837341,0.03618052435350848,99.54954954954955,0.0005,307.19927859306335
17,0.14449611323302916,98.66416750480022,0.05800074682579384,99.54954954954955,0.0005,307.26062512397766
18,0.149251507926905,98.6449666270458,0.054925210518879934,99.63963963963964,0.0005,307.73173427581787
19,0.14203278945674297,98.71994148303922,0.042030425007278854,99.72972972972973,0.0005,306.60405945777893
20,0.09566193160026941,99.03355581969461,0.022821053513535507,99.45945945945945,0.00025,307.1140956878662
21,0.07110197685115313,99.16979061899973,0.03578718685889029,99.54954954954955,0.00025,307.49405670166016
22,0.06535960666558048,99.27493828289293,0.026677370930577184,99.54954954954955,0.00025,307.29368829727173
23,0.06757330783294381,99.29505348815945,0.018872060109903145,99.72972972972973,0.00025,307.12607741355896
24,0.05249896463031595,99.37642863673769,0.015428209734392595,99.90990990990991,0.000125,306.8546633720398
25,0.04806479282211044,99.4203163573192,0.015491148050840911,99.81981981981981,0.000125,307.309339761734
26,0.045029644774512594,99.46603273292493,0.013036153337976954,99.81981981981981,0.000125,306.96102690696716
27,0.04224752836475057,99.47334735302185,0.01335867063419239,99.90990990990991,0.000125,307.4842436313629
28,0.041890146841043946,99.49346255828839,0.010454213297044908,99.81981981981981,0.000125,307.3876223564148
29,0.032316508371261356,99.54466489896681,0.010881916467133943,99.90990990990991,6.25e-05,306.89265966415405
30,0.03391781233341698,99.57666636189083,0.012202322590458501,99.81981981981981,6.25e-05,306.8533225059509
