Class,Accuracy (%),Sample Count
Bali_Barong,100.0,51
Bali_Merak,100.0,50
Jakarta_OndelOndel,100.0,51
Jakarta_Tumpal,100.0,51
JawaBarat_Megamendung,94.0,50
JawaTengah_Arumdalu,100.0,51
JawaTengah_AsemArang,100.0,51
JawaTengah_AsemSinom,100.0,51
JawaTengah_AsemWarak,100.0,51
JawaTengah_Blekok,100.0,51
JawaTengah_BlekokWarak,100.0,51
JawaTengah_CindeWilis,100.0,51
JawaTengah_Cipratan,100.0,51
JawaTengah_GambangSemarangan,100.0,51
JawaTengah_IkanKerang,100.0,51
JawaTengah_JagungLombok,100.0,51
JawaTengah_JambuBelimbing,100.0,51
JawaTengah_JambuCitra,100.0,51
JawaTengah_JayaKusuma,100.0,51
JawaTengah_Jlamprang,100.0,51
JawaTengah_KembangSepatu,100.0,51
JawaTengah_Kemukus,100.0,52
JawaTengah_Laut,100.0,51
JawaTengah_LurikSemangka,100.0,51
JawaTengah_MasjidAgungDemak,100.0,51
JawaTengah_Mawur,100.0,51
JawaTengah_Naga,100.0,51
JawaTengah_ParangKusumo,100.0,51
JawaTengah_ParangSlobog,100.0,51
JawaTengah_Rengganis,100.0,51
JawaTengah_SariMulat,100.0,51
JawaTengah_Semarangan,100.0,50
JawaTengah_Sidoluhur,98.0392156862745,51
JawaTengah_Sritaman,100.0,51
JawaTengah_TanjungGunung,100.0,51
JawaTengah_TebuBambu,100.0,51
JawaTengah_Tembakau,100.0,51
JawaTengah_Truntum,98.0392156862745,51
JawaTengah_TruntumKurung,100.0,51
JawaTengah_TuguMuda,100.0,51
JawaTengah_WarakBerasUtah,100.0,51
JawaTengah_WorawariRumpuk,100.0,51
JawaTengah_Yuyu,100.0,51
JawaTimur_Gentongan,100.0,50
JawaTimur_Pring,100.0,50
KalimantanBarat_Insang,98.0392156862745,51
Kalimantan_Dayak,100.0,50
Lampung_Bledheg,100.0,51
Lampung_Gajah,100.0,51
Lampung_KacangHijau,100.0,51
Maluku_Pala,100.0,50
NTB_Lumbung,100.0,50
Papua_Asmat,100.0,50
Papua_Cendrawasih,100.0,51
Papua_Tifa,100.0,50
SulawesiSelatan_Lontara,100.0,50
SumateraBarat_RumahMinang,100.0,50
SumateraUtara_Boraspati,98.0,50
SumateraUtara_PintuAceh,100.0,50
Yogyakarta_Brendi,100.0,51
Yogyakarta_CakarAyam,96.0,50
Yogyakarta_CeplokLiring,100.0,51
Yogyakarta_Gendhangan,100.0,51
Yogyakarta_JayaKirana,100.0,51
Yogyakarta_Karawitan,100.0,51
Yogyakarta_Kawung,88.23529411764706,51
Yogyakarta_KlampokArum,100.0,51
Yogyakarta_KuncupKanthil,100.0,51
Yogyakarta_Manggar,100.0,51
Yogyakarta_ParangBarong,90.0,50
Yogyakarta_ParangCurigo,100.0,51
Yogyakarta_ParangRusak,94.11764705882352,51
Yogyakarta_ParangTuding,100.0,51
Yogyakarta_SekarAndhong,100.0,51
Yogyakarta_SekarBlimbing,100.0,51
Yogyakarta_SekarCengkeh,100.0,51
Yogyakarta_SekarDangan,100.0,51
Yogyakarta_SekarDhuku,100.0,51
Yogyakarta_SekarDlima,100.0,51
Yogyakarta_SekarDuren,100.0,51
Yogyakarta_SekarGambir,100.0,51
Yogyakarta_SekarGayam,100.0,51
Yogyakarta_SekarJagung,100.0,51
Yogyakarta_SekarJali,100.0,51
Yogyakarta_SekarJeruk,100.0,51
Yogyakarta_SekarKeben,100.0,51
Yogyakarta_SekarKemuning,100.0,51
Yogyakarta_SekarKenanga,100.0,51
Yogyakarta_SekarKenikir,100.0,51
Yogyakarta_SekarKenthang,100.0,51
Yogyakarta_SekarKepel,100.0,51
Yogyakarta_SekarKetongkeng,100.0,51
Yogyakarta_SekarLintang,100.0,51
Yogyakarta_SekarManggis,100.0,51
Yogyakarta_SekarMenur,98.0392156862745,51
Yogyakarta_SekarMindi,100.0,51
Yogyakarta_SekarMlathi,100.0,51
Yogyakarta_SekarMrica,100.0,51
Yogyakarta_SekarMundhu,100.0,51
Yogyakarta_SekarNangka,100.0,51
Yogyakarta_SekarPacar,100.0,51
Yogyakarta_SekarPala,100.0,51
Yogyakarta_SekarPijetan,100.0,51
Yogyakarta_SekarPudhak,100.0,51
Yogyakarta_SekarRandhu,100.0,51
Yogyakarta_SekarSawo,100.0,51
Yogyakarta_SekarSoka,100.0,51
Yogyakarta_SekarSrengenge,100.0,51
Yogyakarta_SekarSrigadhing,100.0,51
Yogyakarta_SekarTanjung,100.0,51
Yogyakarta_SekarTebu,100.0,51
