epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,epoch_time_seconds
1,0.8233687335298613,81.72259733279586,0.17393898342924297,95.02549879216248,0.001,247.71316623687744
2,0.4763080340858184,89.73428734589673,0.1266172305836026,96.85962243893711,0.001,273.7621672153473
3,0.48259571160110126,91.47883144658313,0.1120826971278109,97.35170439294981,0.001,273.9377932548523
4,0.4412683962729298,92.99495000391907,0.12224919092914349,97.485908562226,0.001,273.1140546798706
5,0.45824678854040674,93.73733301980808,0.1272329003781339,97.92430884852823,0.001,266.94884157180786
6,0.4497258876379207,94.59952747265052,0.13046814295306364,98.3269213563568,0.001,255.80915307998657
7,0.4484007061165184,94.96008151656645,0.1209460496835806,98.33586830097522,0.001,255.53049302101135
8,0.4573694452354243,95.3519880860403,0.154497738809948,98.52375413796189,0.001,255.6826367378235
9,0.44191375484883766,95.80659970662994,0.13524567896387407,98.58638275029078,0.001,255.6173985004425
10,0.4403245178977516,95.96000313525255,0.11080654811655394,98.56848886105395,0.001,255.5691454410553
11,0.4351526465904447,96.3664662344497,0.13480227753164048,98.83689719960634,0.001,255.70739030838013
12,0.4238261935917992,96.67663229086186,0.11429989237664605,98.8905788673168,0.001,255.6960654258728
13,0.40389715945920757,96.86586717726495,0.11015361969294142,98.94426053502728,0.001,255.65186262130737
14,0.43463925140020176,96.8703461094875,0.1272184638459983,98.83689719960634,0.001,255.4700779914856
15,0.4478408472712883,97.06965859339134,0.15301694918630204,98.89952581193522,0.001,255.56477975845337
16,0.4163181736317978,97.22530148812523,0.1340672793515927,99.17688109510603,0.001,255.75990772247314
17,0.4523912833225969,97.33391559452227,0.1898667961345692,98.8816319226984,0.001,255.7232060432434
18,0.476191185106363,97.41565610758396,0.2055345805693667,98.91741970117205,0.001,255.67996287345886
19,0.46819087116500474,97.61608832454343,0.15583164469867483,99.12319942739555,0.001,255.5139079093933
20,0.4469786032263296,97.65415924843518,0.15505790922694443,99.11425248277713,0.001,255.5594367980957
21,0.23358743643431512,98.50291690460995,0.10253303887390372,99.36476693209269,0.0005,255.70106172561646
22,0.1949303289242493,98.70334912156942,0.08857121535423479,99.40055471056634,0.0005,255.74183106422424
23,0.1628343083392983,98.84779468574692,0.11848838780256293,99.33792609823745,0.0005,255.84564018249512
24,0.15992306518217245,98.83659735519052,0.09318673230992283,99.48107721213206,0.0005,255.72898316383362
25,0.17525847648372136,98.82092109241157,0.09701651361959826,99.40950165518476,0.0005,255.54470014572144
26,0.16199409729440747,98.93625359714244,0.1022420571786171,99.40055471056634,0.0005,255.72863221168518
27,0.16241189877066706,98.92281680047476,0.1009110534533497,99.42739554442159,0.0005,255.62241625785828
28,0.1524132980039157,99.02135330937105,0.09064520574313557,99.42739554442159,0.0005,255.71438312530518
29,0.10154973998351625,99.25425778494407,0.10033313450749727,99.47213026751365,0.00025,255.76842665672302
30,0.08781153114406882,99.32480096744936,0.0830589889402817,99.5079180459873,0.00025,255.46492266654968
