Class,Accuracy (%),Sample Count
Bali_Barong,100.0,101
Bali_Merak,100.0,100
Jakarta_OndelOndel,100.0,101
Jakarta_Tumpal,99.00990099009901,101
JawaBarat_Megamendung,96.0,100
JawaTengah_Arumdalu,100.0,101
JawaTengah_AsemArang,100.0,101
JawaTengah_AsemSinom,100.0,101
JawaTengah_AsemWarak,100.0,101
JawaTengah_Blekok,100.0,101
JawaTengah_BlekokWarak,100.0,101
JawaTengah_CindeWilis,100.0,101
JawaTengah_Cipratan,100.0,101
JawaTengah_GambangSemarangan,100.0,101
JawaTengah_IkanKerang,100.0,101
JawaTengah_JagungLombok,100.0,101
JawaTengah_JambuBelimbing,100.0,101
JawaTengah_JambuCitra,100.0,101
JawaTengah_JayaKusuma,100.0,101
JawaTengah_Jlamprang,98.01980198019803,101
JawaTengah_KembangSepatu,100.0,101
JawaTengah_Kemukus,100.0,103
JawaTengah_Laut,100.0,101
JawaTengah_LurikSemangka,100.0,101
JawaTengah_MasjidAgungDemak,100.0,101
JawaTengah_Mawur,100.0,101
JawaTengah_Naga,100.0,102
JawaTengah_ParangKusumo,100.0,101
JawaTengah_ParangSlobog,98.01980198019803,101
JawaTengah_Rengganis,100.0,101
JawaTengah_SariMulat,100.0,101
JawaTengah_Semarangan,100.0,100
JawaTengah_Sidoluhur,97.02970297029702,101
JawaTengah_Sritaman,100.0,101
JawaTengah_TanjungGunung,100.0,101
JawaTengah_TebuBambu,100.0,102
JawaTengah_Tembakau,100.0,101
JawaTengah_Truntum,93.06930693069307,101
JawaTengah_TruntumKurung,100.0,101
JawaTengah_TuguMuda,100.0,101
JawaTengah_WarakBerasUtah,100.0,101
JawaTengah_WorawariRumpuk,100.0,101
JawaTengah_Yuyu,100.0,101
JawaTimur_Gentongan,100.0,100
JawaTimur_Pring,100.0,100
KalimantanBarat_Insang,100.0,101
Kalimantan_Dayak,100.0,100
Lampung_Bledheg,100.0,102
Lampung_Gajah,100.0,102
Lampung_KacangHijau,100.0,101
Maluku_Pala,100.0,100
NTB_Lumbung,100.0,100
Papua_Asmat,100.0,100
Papua_Cendrawasih,99.00990099009901,101
Papua_Tifa,100.0,100
SulawesiSelatan_Lontara,100.0,100
SumateraBarat_RumahMinang,100.0,100
SumateraUtara_Boraspati,99.0,100
SumateraUtara_PintuAceh,98.0,100
Yogyakarta_Brendi,100.0,101
Yogyakarta_CakarAyam,99.0,100
Yogyakarta_CeplokLiring,100.0,101
Yogyakarta_Gendhangan,100.0,101
Yogyakarta_JayaKirana,100.0,101
Yogyakarta_Karawitan,100.0,101
Yogyakarta_Kawung,95.04950495049505,101
Yogyakarta_KlampokArum,100.0,101
Yogyakarta_KuncupKanthil,100.0,101
Yogyakarta_Manggar,100.0,101
Yogyakarta_ParangBarong,93.0,100
Yogyakarta_ParangCurigo,100.0,101
Yogyakarta_ParangRusak,91.0891089108911,101
Yogyakarta_ParangTuding,99.00990099009901,101
Yogyakarta_SekarAndhong,100.0,101
Yogyakarta_SekarBlimbing,100.0,101
Yogyakarta_SekarCengkeh,100.0,101
Yogyakarta_SekarDangan,100.0,101
Yogyakarta_SekarDhuku,100.0,101
Yogyakarta_SekarDlima,100.0,101
Yogyakarta_SekarDuren,100.0,101
Yogyakarta_SekarGambir,100.0,101
Yogyakarta_SekarGayam,100.0,101
Yogyakarta_SekarJagung,100.0,101
Yogyakarta_SekarJali,100.0,101
Yogyakarta_SekarJeruk,100.0,101
Yogyakarta_SekarKeben,100.0,101
Yogyakarta_SekarKemuning,100.0,101
Yogyakarta_SekarKenanga,100.0,101
Yogyakarta_SekarKenikir,100.0,101
Yogyakarta_SekarKenthang,100.0,101
Yogyakarta_SekarKepel,100.0,101
Yogyakarta_SekarKetongkeng,100.0,101
Yogyakarta_SekarLintang,100.0,101
Yogyakarta_SekarManggis,100.0,101
Yogyakarta_SekarMenur,92.07920792079209,101
Yogyakarta_SekarMindi,100.0,101
Yogyakarta_SekarMlathi,100.0,101
Yogyakarta_SekarMrica,100.0,101
Yogyakarta_SekarMundhu,100.0,101
Yogyakarta_SekarNangka,100.0,101
Yogyakarta_SekarPacar,100.0,101
Yogyakarta_SekarPala,100.0,101
Yogyakarta_SekarPijetan,100.0,101
Yogyakarta_SekarPudhak,100.0,101
Yogyakarta_SekarRandhu,100.0,101
Yogyakarta_SekarSawo,100.0,101
Yogyakarta_SekarSoka,100.0,101
Yogyakarta_SekarSrengenge,100.0,101
Yogyakarta_SekarSrigadhing,100.0,101
Yogyakarta_SekarTanjung,100.0,101
Yogyakarta_SekarTebu,100.0,101
