Class,Accuracy (%),Sample Count
Bali_Barong,99.5049504950495,202
Bali_Merak,99.5,200
Jakarta_OndelOndel,98.51485148514851,202
Jakarta_Tumpal,98.00995024875621,201
JawaBarat_Megamendung,91.5,200
JawaTengah_Arumdalu,100.0,202
JawaTengah_AsemArang,99.00497512437812,201
JawaTengah_AsemSinom,100.0,201
JawaTengah_AsemWarak,100.0,201
JawaTengah_Blekok,100.0,201
JawaTengah_BlekokWarak,99.50248756218906,201
JawaTengah_CindeWilis,100.0,202
JawaTengah_Cipratan,99.5049504950495,202
JawaTengah_GambangSemarangan,99.50248756218906,201
JawaTengah_IkanKerang,100.0,202
JawaTengah_JagungLombok,100.0,202
JawaTengah_JambuBelimbing,99.5049504950495,202
JawaTengah_JambuCitra,100.0,202
JawaTengah_JayaKusuma,100.0,202
JawaTengah_Jlamprang,97.02970297029702,202
JawaTengah_KembangSepatu,100.0,201
JawaTengah_Kemukus,100.0,205
JawaTengah_Laut,100.0,202
JawaTengah_LurikSemangka,100.0,202
JawaTengah_MasjidAgungDemak,100.0,202
JawaTengah_Mawur,100.0,202
JawaTengah_Naga,100.0,203
JawaTengah_ParangKusumo,98.00995024875621,201
JawaTengah_ParangSlobog,98.50746268656717,201
JawaTengah_Rengganis,100.0,202
JawaTengah_SariMulat,100.0,202
JawaTengah_Semarangan,100.0,200
JawaTengah_Sidoluhur,96.01990049751244,201
JawaTengah_Sritaman,100.0,202
JawaTengah_TanjungGunung,100.0,202
JawaTengah_TebuBambu,100.0,203
JawaTengah_Tembakau,100.0,201
JawaTengah_Truntum,94.02985074626866,201
JawaTengah_TruntumKurung,100.0,202
JawaTengah_TuguMuda,100.0,201
JawaTengah_WarakBerasUtah,100.0,201
JawaTengah_WorawariRumpuk,100.0,202
JawaTengah_Yuyu,100.0,202
JawaTimur_Gentongan,100.0,200
JawaTimur_Pring,99.0,200
KalimantanBarat_Insang,98.50746268656717,201
Kalimantan_Dayak,100.0,200
Lampung_Bledheg,100.0,203
Lampung_Gajah,100.0,203
Lampung_KacangHijau,100.0,202
Maluku_Pala,99.5,200
NTB_Lumbung,100.0,200
Papua_Asmat,100.0,200
Papua_Cendrawasih,98.50746268656717,201
Papua_Tifa,100.0,200
SulawesiSelatan_Lontara,100.0,200
SumateraBarat_RumahMinang,99.5,200
SumateraUtara_Boraspati,98.0,200
SumateraUtara_PintuAceh,98.5,200
Yogyakarta_Brendi,100.0,202
Yogyakarta_CakarAyam,90.5,200
Yogyakarta_CeplokLiring,100.0,202
Yogyakarta_Gendhangan,100.0,202
Yogyakarta_JayaKirana,100.0,202
Yogyakarta_Karawitan,100.0,202
Yogyakarta_Kawung,91.04477611940298,201
Yogyakarta_KlampokArum,100.0,202
Yogyakarta_KuncupKanthil,100.0,202
Yogyakarta_Manggar,100.0,202
Yogyakarta_ParangBarong,91.0,200
Yogyakarta_ParangCurigo,100.0,202
Yogyakarta_ParangRusak,90.54726368159204,201
Yogyakarta_ParangTuding,99.5049504950495,202
Yogyakarta_SekarAndhong,100.0,202
Yogyakarta_SekarBlimbing,100.0,202
Yogyakarta_SekarCengkeh,100.0,202
Yogyakarta_SekarDangan,100.0,202
Yogyakarta_SekarDhuku,100.0,202
Yogyakarta_SekarDlima,100.0,202
Yogyakarta_SekarDuren,100.0,202
Yogyakarta_SekarGambir,100.0,202
Yogyakarta_SekarGayam,100.0,202
Yogyakarta_SekarJagung,100.0,202
Yogyakarta_SekarJali,100.0,202
Yogyakarta_SekarJeruk,100.0,202
Yogyakarta_SekarKeben,100.0,202
Yogyakarta_SekarKemuning,100.0,202
Yogyakarta_SekarKenanga,100.0,202
Yogyakarta_SekarKenikir,100.0,202
Yogyakarta_SekarKenthang,100.0,202
Yogyakarta_SekarKepel,100.0,202
Yogyakarta_SekarKetongkeng,100.0,202
Yogyakarta_SekarLintang,100.0,202
Yogyakarta_SekarManggis,100.0,202
Yogyakarta_SekarMenur,98.51485148514851,202
Yogyakarta_SekarMindi,100.0,202
Yogyakarta_SekarMlathi,100.0,202
Yogyakarta_SekarMrica,100.0,202
Yogyakarta_SekarMundhu,100.0,202
Yogyakarta_SekarNangka,100.0,202
Yogyakarta_SekarPacar,100.0,202
Yogyakarta_SekarPala,100.0,202
Yogyakarta_SekarPijetan,100.0,202
Yogyakarta_SekarPudhak,100.0,202
Yogyakarta_SekarRandhu,100.0,202
Yogyakarta_SekarSawo,100.0,202
Yogyakarta_SekarSoka,100.0,202
Yogyakarta_SekarSrengenge,100.0,202
Yogyakarta_SekarSrigadhing,100.0,202
Yogyakarta_SekarTanjung,100.0,202
Yogyakarta_SekarTebu,100.0,202
